@relation '/c:/Users/jmonteil/Documents/HCP Anywhere/Documents/Demos/demo Pol/MyMLSample/Data/MLAllData.arff'
@attribute Class {broken,healthy}
@attribute x numeric
@attribute y numeric
@attribute z numeric
@data
broken,2.24,5.19808,3.7944829269
broken,2.9499392,8.0876851494,3.7020269707
broken,4.1829982278,12.1824892754,3.8332836053
broken,6.1028760793,18.1472220278,4.4330670739
broken,8.9935191069,26.8924568296,6.036927327
broken,13.2892641604,39.6437130995,9.800856292
broken,19.6143319058,57.87374128,18.1502971829
broken,28.7965901556,82.7171263157,35.8508444762
broken,41.737518834,112.8240062188,70.8459340978
broken,58.7982758064,138.8058984121,130.8484843389
broken,78.0001052317,135.9179945993,205.891407228
broken,91.9003986799,77.5646396185,247.5439525902
broken,88.4598165052,-7.6545663819,223.6436984963
broken,65.3923646123,-57.6282706903,176.7973778969
broken,35.8674121397,-71.1691298397,143.1752869212
broken,10.1786420646,-71.8354873114,126.6353637948
broken,-9.5047489856,-71.3645676096,122.6063417109
broken,-24.3511054554,-71.844383403,127.4476561161
broken,-35.7494921628,-71.4275964426,138.3595668533
broken,-44.31223719,-67.1837310023,151.8452105828
broken,-49.8013957049,-57.1460630111,163.2750644352
broken,-51.5641158584,-42.1374744314,168.4661125326
broken,-49.3017219159,-25.8399824192,166.0789544838
broken,-43.6709044367,-12.3297235013,157.9859939631
broken,-36.1490210122,-3.5593711065,147.2190486612
broken,-28.3275050349,0.824525444,136.0398390385
broken,-21.3310177199,2.1899128324,125.5084931681
broken,-15.6859943874,1.8597394323,115.9038174465
broken,-11.4750182706,0.7344301904,107.182244945
broken,-8.54475064,-0.6945054577,99.2267789968
broken,-6.6606917962,-2.2221458708,91.9362543952
broken,-5.5954407741,-3.8187091248,85.2426196196
broken,-5.1690251783,-5.5562712577,79.1076014029
broken,-5.2619642373,-7.5699815108,73.5195642741
broken,-5.815888383,-10.0442387247,68.4974328454
broken,-6.830692465,-13.2154347117,64.1051224221
broken,-8.3630306042,-17.3845497671,60.4817067885
broken,-10.5281952033,-22.9322395348,57.8972201025
broken,-13.5051658429,-30.322778967,56.8503409383
broken,-17.5413929927,-40.0647097824,58.227842037
broken,-22.9469890222,-52.5526796468,63.5275692685
broken,-30.0523547721,-67.6326451006,75.0443393877
broken,-39.0716244509,-83.6440934117,95.585913556
broken,-49.7690170015,-95.880678419,126.6239289253
broken,-60.8358157417,-95.7833482424,163.7858072307
broken,-69.2232235419,-75.1994099881,193.2008315
broken,-70.657508289,-37.7423883709,200.109434368
broken,-62.7578795086,-1.2369677159,185.7889657021
broken,-47.9928606784,20.9605902634,163.8690534237
broken,-31.4440324524,29.8158469804,144.1332537544
broken,-16.7416613885,31.7380999761,129.1205159574
broken,-5.106518661,31.5299706615,118.1914503641
broken,3.6862387764,31.5669841443,110.297396265
broken,10.3776176647,32.784135097,104.7836270999
broken,15.7551818484,35.4480874314,101.4277114524
broken,20.4814791884,39.518420931,100.3296080574
broken,25.0503452066,44.7474965248,101.8058525364
broken,29.777661523,50.6295202091,106.2653786072
broken,34.7821076076,56.2722915681,113.9890482098
broken,39.9397517581,60.2988647268,124.7444394513
broken,44.8259388706,60.9839422741,137.29948772
broken,48.7038596875,56.8727031753,149.2071538809
