x;y;z;State_predicted
-5.963630099;-7.140743895;22.050172468;healthy
-6.057799203;-7.371960828;21.937031657;healthy
-6.162932133;-7.611910441;21.844335147;healthy
-6.278850398;-7.860219147;21.773147785;healthy
-6.405359898;-8.11641923;21.724562656;healthy
-6.542244644;-8.379931447;21.699693812;healthy
-6.689259588;-8.650047064;21.699666293;healthy
-6.846122586;-8.925909542;21.725603046;healthy
-7.012505543;-9.206496213;21.77860836;healthy
-7.188024796;-9.490600383;21.859747416;healthy
-7.372230843;-9.776814455;21.970021602;healthy
-7.564597532;-10.063514817;22.110339323;healthy
-7.764510915;-10.348849376;22.281482115;healthy
-7.971257992;-10.630728832;22.484066087;healthy
-8.184015659;-10.906822917;22.718498887;healthy
-8.40184024;-11.174562963;22.98493272;healthy
-8.623658058;-11.431152262;23.283214275;healthy
-8.848257594;-11.673585725;23.612832852;healthy
-9.074283844;-11.898680239;23.972868433;healthy
-9.300235556;-12.103116974;24.36194195;healthy
-9.524466069;-12.283496522;24.778170488;healthy
-9.745188506;-12.436407237;25.219130581;healthy
-9.960486004;-12.558506467;25.681833085;healthy
-10.168327641;-12.646613461;26.162713253;healthy
-10.366590507;-12.697811748;26.657639488;healthy
-10.553088206;-12.709557645;27.161943842;healthy
-10.725605761;-12.679790464;27.670476509;healthy
-10.881940537;-12.60703898;28.177685399;healthy
-11.019948413;-12.490517997;28.677720355;healthy
-11.13759398;-12.33020846;29.164559832;healthy
-11.233003138;-12.126914758;29.632155928;healthy
-11.304516068;-11.882293577;30.074591897;healthy
-11.350738268;-11.598850031;30.486244691;healthy
-11.370587209;-11.279898734;30.861944049;healthy
-11.363332131;-10.929489778;31.197119288;healthy
-11.328624743;-10.552302143;31.487925312;healthy
-11.266518935;-10.153509513;31.731340563;healthy
-11.177478181;-9.738625615;31.9252315;healthy
-11.062369976;-9.313337705;32.068380594;healthy
-10.922447394;-8.883337619;32.160477444;healthy
-10.759318612;-8.454159699;32.202075241;healthy
-10.574905899;-8.031034019;32.194517068;healthy
-10.371396149;-7.618761762;32.139838275;healthy
-10.151185398;-7.221617541;32.04065222;healthy
-9.916819969;-6.843281236;31.900027011;healthy
-9.670936871;-6.486799666;31.721360541;healthy
-9.416205894;-6.154576492;31.508260259;healthy
-9.155275542;-5.848387165;31.264432808;healthy
-8.890724472;-5.569414687;30.993587293;healthy
-8.625019689;-5.318301374;30.699354396;healthy
-8.360482224;-5.095211728;30.385222253;healthy
-8.099260584;-4.899901742;30.054488826;healthy
-7.843311877;-4.731790555;29.71022967;healthy
-7.594390171;-4.590031019;29.355279329;healthy
-7.354041439;-4.473576528;28.992224307;healthy
-7.123604246;-4.38124221;28.623405407;healthy
-6.904215283;-4.311759271;28.250927272;healthy
-6.696818802;-4.263821881;27.876673164;healthy
-6.502179048;-4.236126451;27.502323225;healthy
-6.320894841;-4.22740354;27.129374782;healthy
-6.153415537;-4.236442862;26.759163533;healthy
-6.000057723;-4.262112042;26.392884724;healthy
-5.861022068;-4.303369851;26.031613682;healthy
-5.736409891;-4.359274658;25.67632528;healthy
-5.626239072;-4.428988857;25.327912075;healthy
-5.530459055;-4.511779929;24.987200997;healthy
-5.448964725;-4.607018773;24.654968572;healthy
-5.381609049;-4.714175834;24.331954719;healthy
-5.328214392;-4.832815481;24.018875235;healthy
-5.288582479;-4.96258901;23.716433053;healthy
-5.262503001;-5.10322657;23.425328443;healthy
-5.249760887;-5.254528211;23.146268236;healthy
-5.250142273;-5.416354244;22.879974223;healthy
-5.26343923;-5.588614967;22.627190789;healthy
-5.289453289;-5.771259834;22.38869186;healthy
-5.327997813;-5.964266055;22.165287205;healthy
-5.378899272;-6.167626586;21.957828082;healthy
-5.441997457;-6.381337447;21.767212194;healthy
-5.517144656;-6.605384283;21.594387885;healthy
-5.604203827;-6.839728056;21.440357451;healthy
-5.703045765;-7.084289765;21.306179389;healthy
-5.813545285;-7.338934081;21.192969367;healthy
-5.935576389;-7.60345181;21.101899639;healthy
-6.069006422;-7.877541119;21.034196562;healthy
-6.213689198;-8.160787491;20.991135811;healthy
-6.369457061;-8.452642467;20.97403486;healthy
-6.536111894;-8.752401282;20.984242176;healthy
-6.713415045;-9.059179624;21.023122605;healthy
-6.901076211;-9.371889888;21.092038334;healthy
-7.098741305;-9.689217432;21.192324833;healthy
-7.305979396;-10.009597568;21.325261212;healthy
-7.522268849;-10.331194225;21.492034471;healthy
-7.746982879;-10.651881451;21.693697281;healthy
-7.979374765;-10.969229222;21.931119132;healthy
-8.218563122;-11.280495232;22.204930955;healthy
-8.463517691;-11.582624625;22.515463748;healthy
-8.713046245;-11.872259772;22.862682242;healthy
-8.965783327;-12.145762317;23.246115207;healthy
-9.220181647;-12.399249669;23.664784757;healthy
-9.474507089;-12.628647892;24.117137727;healthy
-9.726838353;-12.829762499;24.600982997;healthy
-9.975072284;-12.998367921;25.113439303;healthy
-10.216935935;-13.130315424;25.650898663;healthy
-10.450006294;-13.22165789;26.209010757;healthy
-10.671738422;-13.268788377;26.782693504;healthy
-10.879502419;-13.268587582;27.366174421;healthy
-11.070629232;-13.218573665;27.953066124;healthy
-11.242464786;-13.117046295;28.536477496;healthy
-11.392431307;-12.963215661;29.10915966;healthy
-11.518094055;-12.757306693;29.663683121;healthy
-11.617231066;-12.500629109;30.192639456;healthy
-11.68790291;-12.19560522;30.688858212;healthy
-11.728519094;-11.845749779;31.14562739;healthy
-11.737897549;-11.455599365;31.556904553;healthy
-11.715313694;-11.030592549;31.917505405;healthy
-11.660536003;-10.576906106;32.223257778;healthy
-11.573845611;-10.101256189;32.471111316;healthy
-11.456038457;-9.610676354;32.659196498;healthy
-11.308409489;-9.112286128;32.786830676;healthy
-11.13271962;-8.613064289;32.854472926;healthy
-10.931147194;-8.11964011;32.863633354;healthy
-10.706226627;-7.638113701;32.816745519;healthy
-10.460777593;-7.173913563;32.717012662;healthy
-10.19782847;-6.731695966;32.568239171;healthy
-9.92053787;-6.315287281;32.374658442;healthy
-9.632117823;-5.927667178;32.140766971;healthy
-9.335761771;-5.570988129;31.87117262;healthy
-9.03457988;-5.246624878;31.570462683;healthy
-8.73154348;-4.955246678;31.243095094;healthy
-8.429439736;-4.696904907;30.893313947;healthy
-8.130836949;-4.471129156;30.52508876;healthy
-7.838060326;-4.277025739;30.142075552;healthy
-7.553177559;-4.113373717;29.747596944;healthy
-7.277993252;-3.978714737;29.344638014;healthy
-7.01405097;-3.871434142;28.935854561;healthy
-6.762641624;-3.789831877;28.523590529;healthy
-6.524816844;-3.732182564;28.109901726;healthy
-6.301406102;-3.69678482;27.696583361;healthy
-6.093036399;-3.682000371;27.285199415;healthy
-5.900153517;-3.686283833;26.877112285;healthy
-5.723043942;-3.708204248;26.473511616;healthy
-5.561856767;-3.746459492;26.075441537;healthy
-5.416624985;-3.799884708;25.683825854;healthy
-5.287285763;-3.867455827;25.299490989;healthy
-5.173699368;-3.948289154;24.923186604;healthy
-5.075666551;-4.041637872;24.555604005;healthy
-4.992944256;-4.146886187;24.197392492;healthy
-4.78989032;-8.091335936;22.700706746;healthy
-5.582237268;-12.729050361;21.574173277;healthy
-7.29747241;-18.840334232;21.063196226;healthy
-10.067759247;-27.302523518;21.689479444;broken
-14.204102672;-39.164467723;24.520367277;broken
-20.194590285;-55.568982267;31.667055822;broken
-28.68444436;-77.230486227;47.025091002;broken
-40.335494408;-102.74194625;76.667061795;broken
-55.31304285;-124.635058765;126.094142616;broken
-71.95032667;-124.734994785;188.476902276;broken
-84.618647017;-82.797325656;230.453541629;broken
-84.181529891;-13.137380034;222.093741854;broken
-67.130933925;37.500525144;185.371180258;broken
-42.019383749;56.486134057;152.542031785;broken
-18.378059475;59.642524343;132.383315868;broken
0.346880641;59.153220249;122.662847805;broken
14.460402147;59.297413423;120.363737391;broken
25.221284853;60.363804952;123.556200089;broken
33.655489677;61.077360609;130.775378318;broken
40.236738701;59.695364347;140.226390951;broken
44.906808856;54.82541582;149.45242951;broken
47.287274527;46.271397106;155.797700835;broken
47.043463946;35.439624833;157.502427544;broken
44.258542559;24.710232274;154.491357221;broken
39.56694809;16.127093168;148.060801414;broken
33.941382909;10.550945684;139.870504409;broken
28.327677975;7.776427509;131.189145154;broken
23.395377863;7.117326041;122.725789239;broken
19.488645426;7.88268522;114.791246501;broken
16.703214976;9.584652933;107.500922909;broken
14.994760086;11.967005653;100.909726362;broken
14.268099022;14.963483262;95.083137147;broken
14.43499124;18.645012411;90.136720967;broken
15.445396321;23.174359117;86.270009756;broken
17.300347392;28.764510867;83.809603939;broken
20.051746626;35.623151782;83.266271486;broken
23.788883863;43.851490346;85.394480637;broken
28.603909419;53.250153756;91.203660013;broken
34.51900806;62.985537779;101.787373023;broken
41.350975193;71.15299498;117.725215013;broken
48.503459942;74.570671996;137.870550441;broken
54.759590835;69.650048193;158.088281133;broken
58.333300601;55.051657824;171.975115377;broken
57.545706334;34.366611957;174.955514438;broken
51.982723684;14.564674802;167.949061086;broken
43.002391952;0.70491594;155.651369097;broken
32.850997709;-6.56772389;142.303349945;broken
23.390504525;-9.191682672;129.958048388;broken
15.570779598;-9.36205593;119.088318032;broken
9.586899071;-8.603676318;109.536529674;broken
5.221160978;-7.763640901;101.033520374;broken
2.104808527;-7.247457564;93.367648102;broken
-0.139735335;-7.228192809;86.404277315;broken
-1.840965129;-7.782977467;80.067383463;broken
-3.26704809;-8.973498953;74.323553652;broken
-4.636596297;-10.89271906;69.178102773;broken
-6.13806576;-13.693998694;64.685241749;broken
-7.951489664;-17.612019872;60.975744717;broken
-10.270016914;-22.977845596;58.310752014;broken
-13.319895798;-30.220051002;57.177105974;broken
-17.375933047;-39.823201513;58.443604326;broken
-22.763277479;-52.171268181;63.580527636;broken
-29.821195247;-67.122423341;74.846548707;broken
-38.77348999;-83.073002447;95.026248234;broken
-49.40537298;-95.441062464;125.653365341;broken
-60.453938456;-95.812440422;162.609162408;broken
-68.939978928;-75.958301481;192.36018791;broken
-70.62437634;-38.987450011;200.025008616;broken
-63.031514021;-2.356787687;186.278223142;broken
-48.469579701;20.259834466;164.513563857;broken
-31.974520301;29.4377853;144.699811912;broken
-17.235566957;31.504928829;129.551516807;broken
-5.537847968;31.321625912;118.490701666;broken
3.308425763;31.322739366;110.472427605;broken
10.031861028;32.478830814;104.830404614;broken
15.419133776;35.077040894;101.329928424;broken
20.137031485;39.092873135;100.061675772;broken
24.686433481;44.297710811;101.338823911;broken
29.39314004;50.212574584;105.579433618;broken
34.38980433;55.979185114;113.097075022;broken
39.571255718;60.249171275;123.725576327;broken
44.533955452;61.290033852;136.323301059;broken
48.555414268;57.566582933;148.505848838;broken
50.718094748;48.785909596;157.212039207;broken
50.254370311;36.651361232;160.208668918;broken
46.989648132;24.250358188;157.362548025;broken
41.532218546;14.30042123;150.364236864;broken
34.99658719;7.924642137;141.355723948;broken
28.499320377;4.816212555;131.899233503;broken
22.8153745;4.065983073;122.792892814;broken
18.315520557;4.796422238;114.327148578;broken
15.070936961;6.406552315;106.563143453;broken
12.991484646;8.583272638;99.498504379;broken
11.933513764;11.235590379;93.141923298;broken
11.766012152;14.426830089;87.545296424;broken
12.404608457;18.326013513;82.827197135;broken
13.82574567;23.175786874;79.206146696;broken
16.069755559;29.263222942;77.054110459;broken
19.236187731;36.869154721;76.974512731;broken
23.468099808;46.153971307;79.892250489;broken
28.912708968;56.912142422;87.090836137;broken
35.632572997;68.118435424;100.005934687;broken
43.429179979;77.299562347;119.395277741;broken
51.558071748;80.230308949;143.572590537;broken
58.439408676;72.308042617;166.657617802;broken
61.767880822;52.627185242;180.219206654;broken
59.574113883;27.318864048;179.782816167;broken
51.832853922;5.627903967;168.692715154;broken
40.743665933;-7.680882402;153.593413969;broken
29.121774333;-13.582040351;138.960840813;broken
18.872858809;-15.128283237;126.300986404;broken
10.712584718;-14.861650354;115.596859245;broken
4.5747683;-14.28882519;106.442682572;broken
0.047505863;-14.166321797;98.489578406;broken
-3.363812776;-14.847131488;91.53523365;broken
-6.119809267;-16.513613756;85.509084203;broken
-8.614322344;-19.309748409;80.455129093;broken
-11.1812246;-23.408149463;76.541667;broken
-14.115686567;-29.031841866;74.104990906;broken
-17.695563839;-36.429207724;73.728901219;broken
-22.191638371;-45.772690847;76.349977948;broken
-27.851090965;-56.91458502;83.330245872;broken
-34.826329539;-68.904736962;96.30584679;broken
-43.00514732;-79.25759289;116.382885897;broken
-51.705734257;-83.428903464;142.202985445;broken
-59.319294866;-76.021383583;167.661441483;broken
-63.327796159;-55.319839062;183.168988452;broken
-61.405886455;-27.775675223;183.13709032;broken
-53.33463576;-4.027736789;171.181397239;broken
-41.500980007;10.341047533;154.966544057;broken
-29.058893397;16.527262585;139.553597074;broken
-18.118215962;18.06968902;126.514470935;broken
-9.433118766;17.813026131;115.723797977;broken
-2.894043991;17.386298972;106.680554015;broken
1.97323832;17.583755363;98.992648168;broken
5.71976241;18.770406605;92.460095234;broken
8.851917017;21.137013654;87.05323285;broken
11.80034021;24.833403808;82.897599039;broken
14.928275474;30.021145106;80.293223037;broken
18.550564185;36.86087697;79.76831623;broken
22.945039254;45.419412973;82.14948366;broken
28.338888946;55.450879195;88.586986007;broken
34.845766606;65.994285656;100.369462854;broken
42.321411178;74.82123796;118.207532641;broken
50.121369606;78.149163063;140.716914894;broken
56.848040036;71.740516263;162.836513841;broken
60.42223433;54.327392113;176.938713475;broken
58.959472198;30.809567244;178.259416122;broken
52.203495009;9.573353276;168.947479718;broken
41.972260993;-4.252499996;154.904838248;broken
30.878318356;-10.864689282;140.65474365;broken
20.859996523;-12.889595036;128.00150753;broken
12.760094549;-12.786632165;117.138792551;broken
6.628880137;-12.108357969;107.750310545;broken
2.131942992;-11.666121637;99.505981974;broken
-1.179592519;-11.841683308;92.187948875;broken
-3.738494309;-12.818015036;85.687942636;broken
-5.917579283;-14.718550549;79.986695104;broken
-8.029812387;-17.685104787;75.150419791;broken
-10.347082563;-21.918335708;71.35351508;broken
-13.124183318;-27.690499841;68.933107523;broken
-16.620099283;-35.322556781;68.482617366;broken
-21.108689083;-45.090647728;70.98368431;broken
-26.864359158;-56.983576806;77.930187402;broken
-34.092971393;-70.1839377;91.253631919;broken
-42.754803307;-82.191136115;112.552554267;broken
-52.219523181;-87.98687303;140.905690662;broken
-60.803687145;-81.005269427;169.7880849;broken
-65.652066892;-58.40943411;187.788175164;broken
-63.913835025;-27.371826127;187.76216512;broken
-55.143752889;-0.788770994;174.090556466;broken
-42.098557234;14.740306609;156.127429785;broken
-28.457229912;21.025814046;139.683223633;broken
-16.581299362;22.407391762;126.281193569;broken
-7.224013492;22.128799181;115.573327832;broken
-0.179338451;21.933940147;106.912383896;broken
5.127848413;22.623541416;99.857673293;broken
9.326814734;24.542379223;94.23285148;broken
12.978550211;27.85202925;90.088630251;broken
16.54818518;32.648127953;87.684150662;broken
20.412171446;38.970415158;87.500833777;broken
24.866149937;46.715118554;90.260439327;broken
30.109902405;55.432073515;96.873427779;broken
36.187223471;63.999690726;108.167980721;broken
42.862215612;70.28804749;124.193049733;broken
49.444415263;71.23160255;143.096008177;broken
54.673340212;64.058956202;160.430043081;broken
56.92588805;48.777612537;170.664937816;broken
54.970301927;29.62495553;170.949897793;broken
48.887418791;12.590278762;163.109688602;broken
40.176105184;1.204992194;151.318126998;broken
30.823038067;-4.554531873;138.896630774;broken
22.332421281;-6.46488081;127.370670809;broken
15.421068779;-6.335522333;117.078723183;broken
10.199486912;-5.393706795;107.896740851;broken
6.457120423;-4.312083819;99.617701711;broken
3.872511405;-3.398300958;92.07430031;broken
2.127516438;-2.759654417;85.152449539;broken
0.954595432;-2.410360574;78.77599262;broken
0.147005991;-2.333187898;72.891307897;broken
-0.448240542;-2.512137995;67.457765244;broken
-0.943575931;-2.949050455;62.443179997;broken
-1.424889817;-3.672748013;57.82262198;broken
-1.964375784;-4.746203965;53.579786164;broken
-2.632014547;-6.275235017;49.711294209;broken
-3.50638746;-8.421117427;46.235739179;broken
-4.685922652;-11.418876503;43.211534431;broken
-6.301831576;-15.602106528;40.771647974;broken
-8.533897565;-21.432472243;39.190585106;healthy
-11.629555487;-29.523524612;39.011118493;broken
-15.924108077;-40.623884949;41.273481388;broken
-21.852054526;-55.460114778;47.887067728;broken
-29.917988987;-74.190976463;62.068658538;broken
-40.543505981;-94.982150547;88.241473811;broken
-53.608780677;-111.273542226;129.374688463;broken
-67.448323449;-109.641590432;178.875843363;broken
-77.574707525;-77.191028356;213.424351978;broken
-77.482624524;-23.622276213;212.131194696;broken
-64.55614093;20.016184088;185.954724686;broken
-44.258782925;40.37609925;157.774129146;broken
-23.946411203;45.756958774;137.227941235;broken
-7.217602409;45.923731991;124.32991438;broken
5.536317847;45.718892219;117.071528658;broken
15.180135696;46.680306505;113.999094948;broken
22.74017669;48.85392849;114.374738252;broken
29.007477122;51.62497281;117.814839538;broken
34.435676087;54.01783612;123.899123847;broken
39.135394495;54.869608679;131.826739518;broken
42.911605899;53.116959505;140.218348563;broken
45.360890765;48.258142433;147.26097049;broken
46.056231165;40.775375619;151.289165696;broken
44.788825834;32.104417524;151.496261311;broken
41.74456784;24.00085199;148.199782019;broken
37.486076036;17.751160657;142.45756916;broken
32.749696345;13.821303372;135.441885238;broken
28.206882031;12.031433913;128.043845036;broken
24.324774483;11.926650277;120.804142567;broken
21.349224674;13.060244891;114.014708742;broken
19.359869526;15.121790245;107.843657578;broken
18.342730498;17.958594778;102.426608459;broken
18.250537925;21.548751237;97.924965441;broken
19.04210912;25.957897946;94.56757969;broken
20.701898438;31.287151321;92.688161172;broken
23.24235913;37.602697627;92.759248358;broken
26.688840369;44.826154407;95.404089115;broken
31.041795738;52.562230032;101.33359186;broken
36.206699969;59.865753302;111.107681281;broken
41.884872769;65.047088238;124.607553197;broken
47.443804482;65.814316195;140.283374956;broken
51.852727293;60.192389731;154.777999517;broken
53.854246278;48.173978766;163.976228754;broken
52.490982075;32.681166307;165.456402459;broken
47.736626291;18.115378686;160.020460908;broken
40.627526866;7.56315857;150.530445917;broken
32.692078475;1.610116453;139.711943716;broken
25.23240759;-0.766928778;129.125306909;broken
18.992566861;-0.931773082;119.34237656;broken
14.210725275;0.059929969;110.438292297;broken
10.814534401;1.578824066;102.328827116;broken
8.597963921;3.331952019;94.917458717;broken
7.334121065;5.246347306;88.138107237;broken
6.833055363;7.383404689;81.960738267;broken
6.965139201;9.889696385;76.392068039;broken
